original_image,corrected_image,label
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_162.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_152_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_164.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_155.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_166.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_155_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_168.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_158.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_16_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_158_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_16_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_15_10.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_16_3.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_15_6.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_16_4.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_161.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_16_5.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_161_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_16_6.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_164.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_16_7.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_164_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_16_8.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_167.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_170.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_167_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_172.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_17.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_174.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_170.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_176.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_170_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_178.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_173.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_18.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_173_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_180.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_176.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_182.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_176_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_184.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_179.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_186.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_179_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_188.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_17_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_18_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_17_10.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_18_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_17_11.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_18_3.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_17_2.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_18_4.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_17_3.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_18_5.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_17_4.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_18_6.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_17_5.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_18_7.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_17_6.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_190.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_17_7.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_192.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_17_8.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_194.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_17_9.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_197.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_182.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_199.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_182_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_1_4.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_185.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_185_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_20.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_188.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_201.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_188_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_203.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_191.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_205.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_191_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_207.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_194.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_209.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_194_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_20_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_197.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_20_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_197_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_20_3.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_19_10.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_20_4.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_19_6.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_20_7.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_1_11.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_20_8.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_1_7.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_211.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_20.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_213.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_200.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_217.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_200_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_219.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_203.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_22.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_203_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_221.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_206.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_223.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_206_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_225.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_209.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_227.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_209_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_229.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_20_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_22_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_20_11.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_22_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_20_2.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_22_3.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_20_3.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_22_4.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_20_4.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_22_5.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_20_5.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_22_6.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_20_7.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_22_7.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_20_8.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_22_8.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_20_9.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_231.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_212.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_233.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_212_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_235.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_215.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_237.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_215_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_239.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_218.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_24.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_218_1.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_241.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_21_10.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_243.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_21_6.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_245.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_221.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_247.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_225.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_249.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_227.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_24_1.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_23.jpg,0
/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05uncorrected/page_24_2.jpg,/Users/jadeja19/Documents/Hiwi iktd/data set/allgemein1-5/05corrected/page_230.jpg,0
